;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;1;0.0;4.0;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;1;0.0;4.0;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;2;3.31538E-5;7.0;0.0;0.0;5.8309E-5;5.8309E-5
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;2;1.446732E-4;7.0;4.0;1.326172E-4;7.09226E-5;1.193E-5
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;3;0.0014798168;10.0;0.0;0.0;0.0018357313;0.0018357313
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;3;9.543287E-4;18.0;2.0;6.63086E-5;6.273813E-4;6.023708E-4
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;4;0.0049005985;15.0;1.0;3.31543E-5;0.0056598457;0.0056474052
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;4;0.0032503783;38.0;5.0;1.657715E-4;0.0021032243;0.0020392548
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;5;0.0340686866;26.0;4.0;1.326172E-4;0.008011688;0.0079708616
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;5;0.0121111968;145.0;4.0;1.326172E-4;0.0076692574;0.0076176334
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;6;0.0697017168;70.0;0.0;0.0;0.0094382703;0.0094382703
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;6;0.0191394169;453.0;3.0;9.94629E-5;0.0111873249;0.0111498122
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;7;0.0981934189;185.0;1.0;3.31543E-5;0.0048947731;0.0048862807
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;7;0.0275203842;1277.0;2.0;6.63086E-5;0.0144747717;0.0144509932
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;8;0.1728396061;618.0;1.0;3.31543E-5;0.0044897688;0.0044837319
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;8;0.0521524008;5200.0;0.0;0.0;0.0204808521;0.0204808521
Adult;Loss;5-anonymity;RGR;0.1;0.0;0.05;5;30162;9;0.1713235718;1312.0;2.0;6.63086E-5;0.0060443409;0.0060335657
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;9;0.0540518271;9727.0;4.0;1.326172E-4;0.0198899443;0.0198507161
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;1;0.0;4.0;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;1;0.0;4.0;0.0;0.0;0.0;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;2;7.293946E-4;5.0;22.0;7.293946E-4;3.243439E-4;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;2;7.293946E-4;5.0;22.0;7.293946E-4;3.243439E-4;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;3;0.0140905775;6.0;425.0;0.0140905775;0.0052789726;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;3;0.0140905775;6.0;425.0;0.0140905775;0.0052789726;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;4;0.0253833436;7.0;470.0;0.0155825211;0.0050024486;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;4;0.0253833436;7.0;470.0;0.0155825211;0.0050024486;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;5;0.0802157442;20.0;1385.0;0.0459187057;0.0135543823;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;5;0.0802157442;21.0;1385.0;0.0459187057;0.0135543823;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;6;0.1278134762;65.0;2160.0;0.0716132882;0.0186034391;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;6;0.1278134762;63.0;2160.0;0.0716132882;0.0186034391;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;7;0.1583438599;188.0;2761.0;0.0915390226;0.0229975977;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;7;0.1567444777;267.0;3332.0;0.110470128;0.0298074986;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;8;0.2243318537;805.0;2705.0;0.0896823818;0.0159990648;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;8;0.2213844599;2018.0;3095.0;0.1026125588;0.019724354;0.0
Adult;Loss;5-anonymity;Flash;0.1;0.5;0.0;5;30162;9;0.2212867446;1667.0;2584.0;0.0856707115;0.0141890757;0.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;9;0.2212867446;4587.0;2584.0;0.0856707115;0.0141890757;0.0
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;1;2.320801E-4;193730.0;8.0;2.652344E-4;6.6291E-5;0.0
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;2;5.58864E-4;36699.0;0.0;0.0;4.120862E-4;4.120862E-4
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;3;0.0015776757;223653.0;6.0;1.989258E-4;0.0010028035;9.282502E-4
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;4;0.0046568528;132861.0;0.0;0.0;0.0031631703;0.0031631703
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;5;0.0147638334;80217.0;0.0;0.0;0.0093553866;0.0093553866
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;6;0.0229553646;166073.0;0.0;0.0;0.0126906478;0.0126906478
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;7;0.0318678359;165835.0;0.0;0.0;0.0157531036;0.0157531036
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;8;0.0579794801;168017.0;0.0;0.0;0.0214979649;0.0214979649
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.05;5;30162;9;0.0621690109;162494.0;0.0;0.0;0.0214807311;0.0214807311
