;;;;;;;;;;Utility;Runtime;Suppressed;SuppressedRatio;Variance;VarianceWithoutSuppressed;Transformations
Dataset;UtilityMeasure;PrivacyModel;Algorithm;SuppressionLimit;gsFactor;gsFactorStepSize;K;Records;QIs;Value;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;30162;9;0.0540518271;9804.0;4.0;1.326172E-4;0.0198899443;0.0198507161;96.0
Adult;Loss;5-anonymity;RGR;0.95;0.5;0.05;5;30162;9;0.1706193049;6326.0;3.0;9.94629E-5;0.0036411254;0.003624431;5.0
Cup;Loss;5-anonymity;RGR;0.95;0.0;0.05;5;63441;8;0.0694123793;57580.0;2.0;3.15254E-5;0.0075100121;0.0075009458;83.0
Cup;Loss;5-anonymity;RGR;0.95;0.5;0.05;5;63441;8;0.1144282871;25659.0;2.0;3.15254E-5;0.0016400699;0.0016327985;6.0
Adult;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;30162;9;0.0773942893;10667.0;4.0;1.326172E-4;0.0232668984;0.0232316623;82.0
Adult;Loss;10-anonymity;RGR;0.95;0.5;0.05;10;30162;9;0.1857994794;7467.0;5.0;1.657715E-4;0.0046667754;0.0046397012;5.0
Cup;Loss;10-anonymity;RGR;0.95;0.0;0.05;10;63441;8;0.086225417;72446.0;9.0;1.418641E-4;0.0089224607;0.0088847806;71.0
Cup;Loss;10-anonymity;RGR;0.95;0.5;0.05;10;63441;8;0.1240284778;26449.0;1.0;1.57627E-5;0.0027748922;0.0027713042;6.0
Adult;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;30162;9;0.1150082405;13792.0;23.0;7.625489E-4;0.0268907557;0.0267149865;73.0
Adult;Loss;25-anonymity;RGR;0.95;0.5;0.05;25;30162;9;0.2462843908;7471.0;9.0;2.983887E-4;0.0081660023;0.0081232583;5.0
Cup;Loss;25-anonymity;RGR;0.95;0.0;0.05;25;63441;8;0.1134463409;70921.0;11.0;1.733894E-4;0.0104847851;0.0104434025;57.0
Cup;Loss;25-anonymity;RGR;0.95;0.5;0.05;25;63441;8;0.1701977378;19372.0;12.0;1.891521E-4;0.0021738295;0.0021382592;5.0
Adult;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;30162;9;0.1472947595;16205.0;15.0;4.973145E-4;0.0286397764;0.0285378241;68.0
Adult;Loss;50-anonymity;RGR;0.95;0.5;0.05;50;30162;9;0.2722401334;6910.0;14.0;4.641602E-4;0.0094286021;0.0093641432;4.0
Cup;Loss;50-anonymity;RGR;0.95;0.0;0.05;50;63441;8;0.1400900816;69634.0;27.0;4.255923E-4;0.011890916;0.0117984354;43.0
Cup;Loss;50-anonymity;RGR;0.95;0.5;0.05;50;63441;8;0.2228873815;17989.0;28.0;4.41355E-4;0.0056674817;0.0055927503;4.0
Adult;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;30162;9;0.2212867446;4602.0;2584.0;0.0856707115;0.0141890757;0.0;2.0
Cup;Loss;5-anonymity;Flash;0.95;0.5;0.0;5;63441;8;0.139689361;23190.0;2578.0;0.0406361816;0.0092210076;0.0;2.0
Adult;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;30162;9;0.2621056283;5526.0;4008.0;0.1328824349;0.0208720285;0.0;2.0
Cup;Loss;10-anonymity;Flash;0.95;0.5;0.0;10;63441;8;0.1759391395;23623.0;5127.0;0.0808152457;0.017570263;0.0;2.0
Adult;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;30162;9;0.315670248;6102.0;4027.0;0.1335123666;0.0195275058;0.0;2.0
Cup;Loss;25-anonymity;Flash;0.95;0.5;0.0;25;63441;8;0.2062545545;18026.0;3917.0;0.0617424063;0.0112883591;0.0;2.0
Adult;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;30162;9;0.3590735855;5619.0;5124.0;0.1698826338;0.0238040798;0.0;2.0
Cup;Loss;50-anonymity;Flash;0.95;0.5;0.0;50;63441;8;0.2540126599;17314.0;3904.0;0.0615374915;0.0104512596;0.0;2.0
Adult;Loss;5-anonymity;Clustering;0.0;0.0;0.0;5;30162;9;0.0620255924;154816.0;0.0;0.0;0.0213292829;0.0213292829;555.0
Cup;Loss;5-anonymity;Clustering;0.0;0.0;0.0;5;63441;8;0.0751282676;1386983.0;0.0;0.0;0.0093171412;0.0093171412;298.0
Adult;Loss;10-anonymity;Clustering;0.0;0.0;0.0;10;30162;9;0.098015642;84556.0;0.0;0.0;0.0272013987;0.0272013987;428.0
Cup;Loss;10-anonymity;Clustering;0.0;0.0;0.0;10;63441;8;0.0988588372;409081.0;0.0;0.0;0.0101090284;0.0101090284;204.0
Adult;Loss;25-anonymity;Clustering;0.0;0.0;0.0;25;30162;9;0.161366513;44284.0;43.0;0.0014256349;0.0355349779;0.0352701148;292.0
Cup;Loss;25-anonymity;Clustering;0.0;0.0;0.0;25;63441;8;0.1329188342;154291.0;0.0;0.0;0.0119277681;0.0119277681;150.0
Adult;Loss;50-anonymity;Clustering;0.0;0.0;0.0;50;30162;9;0.2214395291;26941.0;0.0;0.0;0.0407938969;0.0407938969;230.0
Cup;Loss;50-anonymity;Clustering;0.0;0.0;0.0;50;63441;8;0.1694953158;85292.0;0.0;0.0;0.0140756534;0.0140756534;114.0
