;;;;;QIDs;Utility;Runtime
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;1.0;0.0;5.74
Adult;Loss;5-anonymity;RGR;0.1;1.0;0.0;6.155
Adult;Loss;5-anonymity;RGR;0.05;2.0;5.200484415313302E-5;9.085
Adult;Loss;5-anonymity;RGR;0.1;2.0;5.200484415313302E-5;7.275
Adult;Loss;5-anonymity;RGR;0.05;3.0;0.007175259278390404;9.74
Adult;Loss;5-anonymity;RGR;0.1;3.0;0.001946261126081966;10.59
Adult;Loss;5-anonymity;RGR;0.05;4.0;0.022601680984825213;12.135
Adult;Loss;5-anonymity;RGR;0.1;4.0;0.020372703660657385;12.09
Adult;Loss;5-anonymity;RGR;0.05;5.0;0.06443245707273129;29.95
Adult;Loss;5-anonymity;RGR;0.1;5.0;0.06422186447278522;28.785
Adult;Loss;5-anonymity;RGR;0.05;6.0;0.1478700950695853;73.45
Adult;Loss;5-anonymity;RGR;0.1;6.0;0.10013796203702792;87.23
Adult;Loss;5-anonymity;RGR;0.05;7.0;0.17380903676691628;219.6
Adult;Loss;5-anonymity;RGR;0.1;7.0;0.11898739366565424;257.165
Adult;Loss;5-anonymity;RGR;0.05;8.0;0.2662807974084269;801.47
Adult;Loss;5-anonymity;RGR;0.1;8.0;0.2017666543048413;1020.69
Adult;Loss;5-anonymity;RGR;0.05;9.0;0.2739245195979826;1731.3
Adult;Loss;5-anonymity;RGR;0.1;9.0;0.21340347468849333;2249.05
Cup;Loss;5-anonymity;RGR;0.05;1.0;5.0153972696132664E-5;9.3
Cup;Loss;5-anonymity;RGR;0.1;1.0;5.0153972696132664E-5;9.455
Cup;Loss;5-anonymity;RGR;0.05;2.0;0.0016328979355383153;11.38
Cup;Loss;5-anonymity;RGR;0.1;2.0;3.2693247649057106E-4;11.64
Cup;Loss;5-anonymity;RGR;0.05;3.0;0.016917755308790035;14.56
Cup;Loss;5-anonymity;RGR;0.1;3.0;0.016917755308790035;14.79
Cup;Loss;5-anonymity;RGR;0.05;4.0;0.02947426050523407;29.57
Cup;Loss;5-anonymity;RGR;0.1;4.0;0.02935582335207727;31.29
Cup;Loss;5-anonymity;RGR;0.05;5.0;0.07642912491780285;119.23
Cup;Loss;5-anonymity;RGR;0.1;5.0;0.0756163787206127;131.59
Cup;Loss;5-anonymity;RGR;0.05;6.0;0.11068747468900467;368.45
Cup;Loss;5-anonymity;RGR;0.1;6.0;0.10971133947779527;461.94
Cup;Loss;5-anonymity;RGR;0.05;7.0;0.11452806759220073;2978.65
Cup;Loss;5-anonymity;RGR;0.1;7.0;0.11369977256595606;2943.9
Cup;Loss;5-anonymity;RGR;0.05;8.0;0.12410355266152487;9043.0
Cup;Loss;5-anonymity;RGR;0.1;8.0;0.12333461950324649;10015.5
