;;;;;Privacy Strength;Records;QIs;Utility;Runtime;Variance
Dataset;UtilityMeasure;PrivacyModel;Algorithm;Suppression;Value;Value;Value;Value;Value;Value
Adult;Loss;5-anonymity;RGR;0.05;5.0;30162.0;9.0;0.2739245195979827;1618.6;0.0067944458274304875
Adult;Loss;5-anonymity;RGR;0.1;5.0;30162.0;9.0;0.21340347468849327;2242.2;0.00825795131434258
Cup;Loss;5-anonymity;RGR;0.05;5.0;63441.0;8.0;0.12410355266152488;9249.8;0.006030149064198437
Cup;Loss;5-anonymity;RGR;0.1;5.0;63441.0;8.0;0.1233346195032465;9972.2;0.005795466153335215
Adult;Loss;5-anonymity;Flash;0.05;5.0;30162.0;9.0;0.2925002644589774;1432.0;0.022718919398229228
Adult;Loss;5-anonymity;Flash;0.1;5.0;30162.0;9.0;0.25510998050475003;1945.2;0.04285250744201811
Cup;Loss;5-anonymity;Flash;0.05;5.0;63441.0;8.0;0.14729676771402941;8424.0;0.02181935136269417
Cup;Loss;5-anonymity;Flash;0.1;5.0;63441.0;8.0;0.14729676771402941;8984.8;0.02181935136269417
Adult;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;30162.0;9.0;3.393045491460352E-5;252479.5;0.04751160877179743
Cup;Loss;5-anonymity;Tassa & Goldberger;0.0;5.0;63442.0;8.0;0.07889906116382832;1827967.0;-0.1
Adult;Loss;10-anonymity;RGR;0.05;10.0;30162.0;9.0;0.3279955017685254;1476.4;0.007109585618140792
Adult;Loss;10-anonymity;RGR;0.1;10.0;30162.0;9.0;0.2671190498438023;1997.2;0.006730051506809973
Cup;Loss;10-anonymity;RGR;0.05;10.0;63441.0;8.0;0.1640595114527775;9537.8;0.004725770110160915
Cup;Loss;10-anonymity;RGR;0.1;10.0;63441.0;8.0;0.13353601075666918;11170.8;0.01012743460996116
Adult;Loss;10-anonymity;Flash;0.05;10.0;30162.0;9.0;0.34562306001411075;1361.8;0.02061556332202271
Adult;Loss;10-anonymity;Flash;0.1;10.0;30162.0;9.0;0.30304863488816813;1766.2;0.037239574372543646
Cup;Loss;10-anonymity;Flash;0.05;10.0;63441.0;8.0;0.18061795039104184;9061.8;0.014273937505555875
Cup;Loss;10-anonymity;Flash;0.1;10.0;63441.0;8.0;0.18311174227997387;10090.8;0.041575905574522315
Adult;Loss;10-anonymity;Tassa & Goldberger;0.0;10.0;30163.0;9.0;3.3930454914603514E-5;115370.0;0.06266576015227482
Cup;Loss;10-anonymity;Tassa & Goldberger;0.0;10.0;63442.0;8.0;0.10288944465848802;739319.0;-0.1
Adult;Loss;25-anonymity;RGR;0.05;25.0;30162.0;9.0;0.425274928528981;1154.6;0.006614324679696745
Adult;Loss;25-anonymity;RGR;0.1;25.0;30162.0;9.0;0.34366627698962005;1624.0;0.0067787799503851885
Cup;Loss;25-anonymity;RGR;0.05;25.0;63441.0;8.0;0.20630625150559406;9598.2;0.009120687969031883
Cup;Loss;25-anonymity;RGR;0.1;25.0;63441.0;8.0;0.1715167800210165;10296.0;0.008580667389481773
Adult;Loss;25-anonymity;Flash;0.05;25.0;30162.0;9.0;0.4381663882476645;1055.6;0.01827765896168533
Adult;Loss;25-anonymity;Flash;0.1;25.0;30162.0;9.0;0.37309198701848406;1501.0;0.03505654318222644
Cup;Loss;25-anonymity;Flash;0.05;25.0;63441.0;8.0;0.23185636022522216;9043.8;0.026072702125165298
Cup;Loss;25-anonymity;Flash;0.1;25.0;63441.0;8.0;0.20643292239941094;9582.6;0.026991890578730315
Adult;Loss;25-anonymity;Tassa & Goldberger;0.0;25.0;30163.0;9.0;3.3930454914603514E-5;54830.0;0.08876551949784758
Cup;Loss;25-anonymity;Tassa & Goldberger;0.0;25.0;63442.0;8.0;0.1356151609525358;246330.0;-0.1
Adult;Loss;50-anonymity;RGR;0.05;50.0;30162.0;9.0;0.4953344544125976;843.0;0.007665277166135913
Adult;Loss;50-anonymity;RGR;0.1;50.0;30162.0;9.0;0.4133312323086077;1278.2;0.016321022821256675
Cup;Loss;50-anonymity;RGR;0.05;50.0;63441.0;8.0;0.24645669624058558;7803.4;0.004851763146966592
Cup;Loss;50-anonymity;RGR;0.1;50.0;63441.0;8.0;0.219393000251435;9185.0;0.015499543075066123
Adult;Loss;50-anonymity;Flash;0.05;50.0;30162.0;9.0;0.5028728976415537;809.8;0.01437239468650484
Adult;Loss;50-anonymity;Flash;0.1;50.0;30162.0;9.0;0.43847434012765574;1175.2;0.03512404596296293
Cup;Loss;50-anonymity;Flash;0.05;50.0;63441.0;8.0;0.2624112690921138;7292.8;0.014999580705794057
Cup;Loss;50-anonymity;Flash;0.1;50.0;63441.0;8.0;0.24908403679346192;8662.2;0.025103476397407013
Adult;Loss;50-anonymity;Tassa & Goldberger;0.0;50.0;30163.0;9.0;3.3930454914603514E-5;30367.4;0.10533872794836384
Cup;Loss;50-anonymity;Tassa & Goldberger;0.0;50.0;63442.0;8.0;0.16734529473554538;125120.0;-0.1
